,height,gender
1,1.42889139940962,M
2,1.58964026969291,M
3,0.642395863775164,M
4,1.63115622701542,F
5,1.70734599924674,F
6,1.13561627222225,M
7,1.37245568889193,F
8,1.78556613968422,M
9,1.98298411541618,M
10,1.74134547565129,M
11,1.92454510148133,M
12,2.02398057061327,M
13,1.54555813843019,F
14,1.64253951643605,F
15,1.57867097511696,F
16,1.58642611786483,F
17,1.61045454023877,F
18,1.65469656549394,M
19,1.82586402457673,M
20,1.64059757827842,F
21,1.16607036511414,F
22,0.874285374069586,M
23,1.82250783738576,M
24,1.45095516019501,F
25,1.03520240751095,M
26,1.25625635590404,M
27,1.61051501710899,F
28,1.92635894338328,F
29,1.53221133599108,F
30,1.91320100455858,M
31,1.69747497760011,F
32,1.56772942331936,F
33,2.19373397211031,M
34,1.73292970301118,F
35,1.67596286241685,M
36,1.74694518462056,F
37,1.65451474975588,F
38,1.71344366013164,F
39,1.86948730051517,M
40,1.48407743518632,M
41,1.7047589015522,F
42,1.63102989687185,F
43,1.61517660636455,M
44,1.95932396329008,M
45,1.68008594915182,F
46,2.07510585819123,M
47,1.21785281575285,M
48,1.69988785469498,F
49,1.70086937370905,F
50,2.06229172144085,M
51,1.83898976359051,F
52,1.02357718208805,M
53,0.548041319008917,M
54,2.0433057943359,M
55,1.55857027245755,M
56,1.72595005483255,F
57,1.4675823034835,F
58,1.57181272716261,M
59,1.35668081836775,M
60,0.569663359085098,M
61,1.64765045354143,M
62,1.82731452770863,M
63,1.74278513375903,F
64,2.06392180777621,M
65,1.22647948563099,M
66,1.43517178040929,M
67,1.6564861444377,M
68,1.92116664947667,M
69,1.5563046091146,F
70,1.77322848885806,F
71,1.99585365643725,M
72,0.747534858295694,M
73,1.76358100418006,F
74,0.741228484082967,F
75,0.829335727496073,F
76,1.66608210919336,M
77,1.81245140978135,M
78,1.55157961304067,F
79,0.720349613111466,F
80,1.7230767652858,M
81,1.76287825432409,M
82,0.972340805921704,M
83,1.82982752747609,F
84,1.42920277127996,M
85,1.87550618324106,M
86,1.71118095032871,M
87,1.67711180812327,F
88,1.53227979292314,F
89,1.83444889406627,F
90,2.02843305284623,M
91,1.66558685680006,F
92,1.71937931069732,F
93,1.59711713935249,M
94,1.6069143152605,F
95,1.91465732152574,M
96,1.98858892475255,M
97,1.47006538696552,F
98,1.8883589373203,F
99,2.01710528971162,M
100,1.32187878107652,M
101,1.47222355772974,F
102,1.73188935108136,M
103,0.503078729612753,F
104,1.82114973621706,M
105,1.40275581018068,F
106,1.65457455224455,F
107,0.692773589631543,F
108,1.81136914431117,M
